タイトル;登録者;登録日時;作成キャンバスのコンテンツ
□ttc3360　社長講話＃233　Countdown;倉川 清志;28/07/2025 12:59;"





There are 65 days left until the next fiscal year (the 60th).
There are 499 days left until our founding anniversary next year (December 9th).
　　　
When do you countdown?
– When the New Year arrives
– The day you take an exam
– The day you leave for a trip
　　　
The same goes for work deadlines.
Do you know how many days are left until the deadline?
This way of thinking is important.
　　　
Once you have decided on your goals, set some milestones.
At that point, you will present your team’s results (output).
　　　
This is the structure for achieving a goal.
This applies to personal goals and projects alike.
　　　　
– – – – – – – – – – – –
　　
□ttc3360　社長講話＃233　カウントダウン
　　
あと65日で次の決算期（60期）です。
来年の設立記念日（12月9日）までは、499日です。
　　
みなさんはカウントダウンはどんな時にしますか？
・新年を迎えるとき
・試験の受験日
・旅行へ出発する日
　　
仕事の納期も同様ですよね。
納期まであと何日か知っていますか？
この考え方は大事ですよ。
　　
目標が決まったら、いくつかマイルストーンを設けます。
そこでチームの成果を発表（output）します。
　　　　
これは目標達成の構造です。
個人の目標でもプロジェクトでも同様です。
　　　
2025/07/28(月)　全社朝礼にて
"
□ttc3361　３年教育合宿　全員リアル参加！;倉川 清志;30/07/2025 23:32;"





３年教育の合宿が2025年7月29日（火）に会社からほど近い会議室、ステーションコンファレンス万世橋にて開催しました。
今までは一泊二日で行っていましたが、会場の日程調整が難しく、今回はギュッと絞って半日バージョンに仕立てました。
　　
３年教育イベントの対象者は、１、２，３、４年生です。４年生は本イベントを主催し、その完了をもって、「３年教育を卒業」ということになります。
　　　　
今回のイベントでたいへん素晴らしかったことは、対象者が全員参加した！ことです。
すごい！！です。
　　
これって「あたりまえでしょ」と思うむきもあるかもしれませんが、決してそうではありません。イベントを行うと、誰かが休む、遅れるとか、仕事の都合で・・とかが、必ずでてきます。
　　
その人にとっては大勢に影響しないでしょ・・ぐらいの感覚かもしれませんが、主催する立場になると全く違います。
　　　
その意味でも、今回主催した４年生（マプア、藤田、山浦、林）、Good Job です！
　　　
合宿ではない、この「型」が定着しそうです。




"
□ttc3362　３年教育合宿　ttc創業;倉川 清志;30/07/2025 23:33;"





私からはttcの歴史を話しました。
　　　
これは毎回話しています。
会社の成り立ちを肚落ちさせておくとこは重要です。
　　
すべての会社には「なぜ誕生してのか！」という歴史があります。
目の前にある課題を、当時としては真新しい技術の「電子計算機」をつかって解決したい。
という想いはあるが、企業としてそこにかかわるのはリスクがありすぎます。
　
そこで既存企業の枠の外で、その課題を解決するぞ！という想いをもった人が集まってできたのがttcです。
もしかすると、「課題を解決するぞ」という想いよりも、「電子計算機をつかってみたい」という進取の気象をもった人が集まってきたのかもしれません。
　
いずれにせよ、チャレンジ精神あふれた人たちだったと思います。
　　
このような器（会社）ができると、お試ししたい企業（造船会社）は多く、企業は業務を知っている（野武士のような）技術者と紐づいていて、仕事が依頼されるようになりました。
これが、ｔｔｃの原型です。
　　　
その後、メンバーが増え、組織が大きくなると、会社として「型」をつくる必要がでて、IBMの教育課長をしていた三谷寿氏を招へいするに至った。そこで持ち込まれたIBM文化は今にも生きています。
　　　　
to be continued




"
□ttc3363　３年教育合宿　自己紹介の意味;倉川 清志;30/07/2025 23:35;"





本イベントで私(倉川)、山川、馬場は自己紹介を行いました。これも重要なコンテンツと位置付けています。
　　　　
今回は、自分が入社した当時を振り返っての自己紹介ということにしました。
　　
＜私の自己紹介の抜粋＞
・会社案内の「船のモーメント計算」に惹かれ、専攻していた力学が使えると思って入社
・技術もプライドもある（一匹狼の）先輩のもと、仕事と飲みにのめり込んだ３年
・はじめてのお客さまに「１人で常駐」を命じられた３年目の１２月
　　
・仕事以外も充実させたいと地元（松戸）のサークルに入った４年目
・サークルのイベント主催や地域のリーダーたちとの交流で新たな世界が広がった
　　　
・世はバブル、仕事が増えてきて、会社からのメンバーも増えてきた
・「いちプログラマですから」などと言っておれず、リーダー、そしてマネージャへ
・それは、本人の好むと好まざるにかかわらず・・仕事とともに、お客さまとともに
　　　　
今回はこのあたりまで・・
　　　　　
人生を振り返った自己紹介をする意味は、その人の立ち位置を明確にするためです。
何かコトが起きた時、立ち戻れる考え（背骨）が自己紹介の中にあります。
"
□ttc3364　３年教育合宿　「精進」を読む;倉川 清志;30/07/2025 23:36;"





３年教育を推し進めるに至った致知の記事「いかに人を育てるか」を合宿の参加者で読み合わせしました。
これは２０１９年１２月号の致知（テーマ：「精進する」）に掲載されていました。
　　　　　
対談者の佐々木監督の花巻東高校は今年（2025年）も岩手代表になりましたね
学生は入れ替わるのに強豪校は継続する。それはなぜか！
この記事の中に、その要素がちりばめられているハズである。
　　　
そして、読むたびに新たな気づきがある。
　　
今回は「目指すゴールのない者に進む道はない」（p57)
　　　　　　
生徒にオリジナルの手帳を持たせ野球部全員で共有すべきことから、期末テストの目標点数、人生百年の目標まで書かせている。
野球部を辞めてからでも社会でしっかりやっていける人間になるために必要なことを一冊で学べるようにしている。
　　
手帳には、人生百年の目標まで書かせているんですね。
甲子園優勝が最終ゴールではありません！
　　　　　
このような環境（「場」）から大谷翔平や菊池雄星が生まれているんですね。




"
□ttc3365　３年教育合宿　機会を活かす;倉川 清志;30/07/2025 23:37;"





今回の３年教育合宿をやるにあたって、１年に一度しっかりやるだけでなく、このような機会は何回か行ってもよいのでは！と思いました。
　　
それは、７月からの「社長と語る会」の立て付けを１年目のみから全社員に変えたことと同じ理由です。
　　　
　「社長と語る会」対象者
　　　（今まで）　　　　　（今後）　　　
　　必須：１年目　　　⇒　必須：１年目
　　　　　　　　　　　　　推奨：３年教育対象者（２，３，４年生）
　　　　　　　　　　　　　任意：全社員
　　
これは、大事なことは何度も伝える必要があるし、聞くたび、話すたびに新たな発見があるからです。
　　
良いものをつくりだすためには、量が必要です。
大量にINPUTし、大量にoutputする機会をつくる。
能動的に機会をつくれればベストだが、つくりだされた機会を利用してもベターである。
　　　　　
「社長と語る会」は月いちで開催予定です。
　　　
ここに参加する機会を、リアルなチームミーティングなどの機会にメイキングできれば、モアベターである。
"
□ttc3366　３年教育合宿　目標に引っ張られろ;倉川 清志;30/07/2025 23:38;"





行動指針の１つ「チャレンジ（大きな行動目標）に引っ張られろ」を扱った。
　
というのも、このようなことをブログに書いた記憶から検索してみたら、丁度10年前に書いたものを見つけた。
　　
それは、中田英寿が小学校4年生の時に書いた「目標」という作文だ！（ttc0288　投稿日2015/9/8)
　　　　　
　　・・・
　　きみ　目標は　きみが選んだのだよ
　　自分で選んだ　一つの大事な目標が
　　むこうから私を救ってくれるのだ
　　
自分を客観的に見て、この冷静で、力強い文章。
　　
できることを目標にしていたら、どんどんできる範囲も、可能性は小さくなる。
　　




"
□ttc3367　３年教育合宿　稲盛さん方程式;倉川 清志;30/07/2025 23:41;"





人生・仕事の結果＝考え方×熱意×能力
　　
考え方はマイナス100からプラス100と言われているが、ttcのご縁なあった人でマイナスな人は居ない。よって、これはすべて１と仮定すると、左辺を大きくするには、能力が同じなら熱意しかない。
　　
能力、つまりスキルはいろいろな切り口で推しはかろうとしているが、熱意はどうしたものか・・
熱意というと、我武者羅、一生懸命のように、大きな声、汗、みたいな側面もあるが、クールで淡々とという中にもあると思う。
熱意があるかないかは他人の評価では難しいと思うが、本人は必ず知っている。100％でやっているか、どこか手を抜いているか。
　　　　
熱意が１００％でやっているときには、不純物ははいってこない。
手を抜いて８０％でやっていると、残りの２０％に不純物が入ってくる。それが問題だ。
　　　　
結果だけを見ると能力80のＡのほうが良い製品(640)をつくったのだが、能力50のＢが熱意100でやったことを評価したい。それは、かならず能力アップにつながる。
熱意80のＡは20の中に不純物を抱え、能力アップにもつながらない。
　　　
「仕事＝業務⁺改善」である。
　
今行っている仕事もまわりも吸収するのは、熱意である。
　　　　　　
ちなみに、以下を補足する。
プロダクトとしては、個人の品質（640とか500）で納めるわけでなく、1000で納めなけらばならない。
　　




"
□ttc3368　３年教育合宿・・の次;倉川 清志;31/07/2025 00:16;"





３年教育のメインは３つの委員会（全社朝礼、社内木鶏会、会社報）活動でした。
　　　
今までは、その器を用意しておけば良いというイメージでかかわっていましたが、この３年で「プロジェクト管理を経験させる」というところに立ち返ると、この３年で得て欲しいことが、もっともっと見えてきました。
　　　　
例えば、
・ソフトウエアライフサイクル
・構造化設計
・レビュー技法
・ＰＤＣの型の徹底
などなど
　　　　　　　　　
これらも３年教育の中で行います。
メンバーに説明できない人は、一緒に学んでいきましょう。
"
□ttc3369　３年教育合宿　番外編(KBM);倉川 清志;31/07/2025 00:24;"





３年教育合宿の懇親会はttcのフリースペースで行いました。同日にKBM城東藩のリアルプレゼンをttcで行うことになっており、懇親会の場を借りてプレゼンさせていただきました！
　　
プレゼンターは新潟の金井度量衡の社長の金井氏。新潟のアメダスの観測機の保守点検を一手に行っている老舗企業の社長です。
気象予報士の資格をとり、ドローン教室も行っている進取の気象カンパニーです。
KBM経験は１年と浅いながら、今年の５月からKBM城東藩の新藩主（リーダー）を引きうけた方です。
　
10分のプレゼン予定でしたが、うなづいて聞いてくれている態度が良く、とても話しやすかったと言って、倍の２０分間になってしまいました。
懇親会の貴重な場での予定時間オーバー、申し訳ありませんでした！！
　　
いつもZOOMでやっていて、初のリアルプレゼンということで、やはり準備不足は否めません。後のディブリーフでいろいろ改善点があがりました。
　　　　　　　　
皆さんからの、ポストイットの感想を大事に持って帰っていました。
ありがとうございました！




"
□ttc3370　KOTOTAMA UTA Festival;倉川 清志;4/08/2025 11:12;"





The Kototama Song Festival was held (July 21st).
The venue was the Sanshuden Hall inside Meiji Shrine.
　　
Tsurutaro-san was the guest speaker.
　　
Have you ever composed a waka poem?
It’s a piece of literature consisting of 31 characters (misohitomoji: 57577).
　　
It seems that in the Heian period, it was composed by aristocrats, and in the Edo period, it was enjoyed by commoners.
　　
Waka poems are difficult.
I prefer senryu (575 characters).
Haiku (575 characters) are difficult because they use seasonal words.
　　
It’s a wonderful culture that we would like to preserve.
　　　
– – – – – – – – – – – –
□ttc3370　ことたま歌祭り
　　　　
ことたま歌祭りが開催されました（7月21日）。
会場は明治神宮の中にある参集殿です。
　　
鶴太郎さんがゲストスピーカーでした。
　　
皆さんは和歌をつくったことがありますか？
三十一文字（みそひともじ：５７５７７）の文学ですね。
　　　
平安時代は貴族が詠み、江戸時代では庶民が楽しんでいたようです。
　　　
和歌は難しいですね。
私は川柳（５７５）の方が好きです。
俳句（５７５）は季語があるので難しい。　　
　　　
これからも残していきたい、とても素敵な文化です




"
□ttc3371　春はあけぼの　夏は？;倉川 清志;4/08/2025 11:14;"





春はあけぼのやうやう白くなりゆく山ぎは・・枕草子の冒頭です。
　　　　　　
みなさんも覚えたのではないでしょうか・・
　　
ところで、　
春はあけぼの（夜が明けたころ）が一番いいと言っていますが、「夏」は何でしたか？
　　　
思い出せなかったので調べてみました。
「夜」でした。（当時、夜は涼しくなったのでしょうね）
　　　　　
ついでに
秋は「夕暮れ」
冬は「つとめて」（早朝）
　　　　
現代なら季節ごとに何と詠むのでしょうね。
夏と冬だけになってしまうかも・・




"
□ttc3372　社長講話＃234　入社から3年あたり;倉川 清志;4/08/2025 11:15;"





3年教育の合宿を先週、行いました。(2025/7/29）
　
これからの３年教育を形づけるきっかけとなる合宿となったので、大量のブログを書いてしまいました。
 
そこで書いたブログの１つ(ttc3363　自己紹介の意味）を補足します。
 
”船のモーメント計算ができる”ということでttcに入社し、３年間が自社で仕事三昧。
転機は３年間の冬に訪れ、東京ガスさん（浜松町ビル）に一人で出向。
出向当時は本意ではない移動でもあり、仕事漬けから自分の時間も持とう！と地元のサークルに入会。
そこは松戸市が応援していたので、サークル内で選ばれ、リーダー育成の洋上研修へ。
洋上研修は千葉県の若手サークルのリーダー（候補）が参加し、研修をしながら３日かけて大型船で上海に行き、蘇州で一泊して、３日かけて戻ってくるというもの。
 
18歳～29歳の200名を超える若者があつまり、学生、社会人、農家、教員、芸人、多様な価値観が交差していた。
この機会に触発され、翌年は韓国に片道切符でホテルも予約せず、２週間行くに至った。
 　
それからは、バブルに突入し、仕事が大きく忙しくなるにつれ、『プログラマです』などと言っていられなくなり、ＰＭ、マネージャとなっていった。
 
一人出向、バブルに放浪されたという言い方もできるが、振り返るととても貴重な経験であった。今を形作るにはすべてが必要だったと思う。
 　
2025/08/04(月)　全社朝礼にて





"
□ttc3373　行方（なめかた）さん来社;倉川 清志;5/08/2025 11:25;"





FBSS殿でサーバー周りを一手に担っている、行方さんが来社(2025/7/24木)しました。
何度かttcですれ違ったことはありましたが、しっかり話をしたのは初めてでした。
　　　　
行方さんは2007年からFBSSの仕事をしていて、そのノウハウは余人をもって代えがたいものがあります。
FBSSさんももちろんそれは承知で、行方さんが講師になりAWSの勉強会（月いち）を開き、全８回が最近終わったそうです。（ttcでもやってもらうか！！）
　　
サーバーまわりって、理論だけでなく、経験があってのものなので、なかなか継承が難しいですよね。今も300台ものサーバーを抱え、かなり忙しいようです。
　　　
当日は、馬場君がttcの現状をプレゼンしました。
中田さんも同席し、話に花が咲きました。
　　　　
行方さんは来年60歳とのことですが、まだまだ、頑張っていただかねば！
そして、そのノウハウを継承していかねば！
　　　
とても気さくで話しやすく、仕事に誇りをもった方でしたよ。




"
□ttc3374　圓角（えんかく）さん７年ぶり来社;倉川 清志;5/08/2025 11:27;"





圓角さんは、7年前に東京ガスｉネットの社長を退任された後、大手ＩＴ会社の社外取締役をされていました。
今回は、いつも情報交換をしてお世話になっている千田（ちだ）さんにつないでいただきました。(2025/8/4)
       
ｉネットの社長の時と全くお変わりなく、エネルギッシュで、学び続けていらっしゃいました。その姿勢に触れて、まだまだ頑張らねば！と思いました。
     　
圓角さんは、本ブログでも何度か書かせてもらっていますので、参照してください。
□ttc0922　東京ガスｉネット　圓角社長退任　投稿日: 2018/03/16
□ttc1077　圓角氏　来社          投稿日: 2018/08/20
   
また、お会いしたいと思います。




"
□ttc3375　社長講話＃235　「語ろう会」語録;倉川 清志;12/08/2025 23:49;"





2023年4月、IKJ「社長語ろう会」を実施したときに、塾の壁に私の話の中からピックアップした言葉の掲示がありました。
その時のことは、ブログに書いています。
参考）□ttc2804　IKJ「社長語ろう会#45｣　型をつくる　投稿日: 2023/04/23
　　
ttcで話していることとほぼ同じです。今回の社長講話では手短に紹介しました。
　
一、キャリアとは時間ではなく限界突破の数
⇒忙しいぃぃ！！！という時こそ、チャンスだ！　　 　
　ここで↓書いていた
　□ttc0257 キャリアとは限界突破の数　投稿日:2015/08/12
　　
一、場所を変えても、同じ壁にぶつかる
⇒合わないヤツがいる。そこを避けて場所を変えても、合わないヤツは居る
　壁はそこ（場所）にあるのではない、あなた自身にある　　　
　　
一、会社の良いところは、やりたくないところをやれるということ
⇒プログラム作成が大好き！人をマネージなんかできない！と思っていても
　やってみたら、性に合っていた。みたいな仕事はいくらでもある。
　食わず嫌い、やらず嫌いかもしれない。
　　
一、準備が出来たらやるのではなく、やるから準備する
⇒まさに、ロケットスタートだ！！
　準備が出来たらやるって言っていたら、いつまでもできない
　　
一、役職者に興味が無いという人は、相当傲慢
⇒塾の場合、役職者になるというところから組織ができている。
　その組織に属しながら、斜に構えつづけるのは・・
　ttcの場合、Ｍ系とＴ系どちらでもＯＫだが、職能アップは目指して欲しい！
　　
2025/08/12(火)　全社朝礼にて








"
□ttc3376　あなたが今までいた町はどんな町でした？;倉川 清志;13/08/2025 00:45;"





ある町に、一人の旅人がやってきました。町の入り口に老人が座っていました。
旅人は聞きます。
「おじいさん、この町はどんな町ですか？」
おじいさんは、聞きます。
「あなたが今までいた町は、どんな町でしたか？」
旅人は答えます。
「嫌な人ばかりで、ろくな町じゃなかったよ」
おじいさんは、言います。
「そうですか。この町も嫌な人ばかりで、ろくな町ではありませんよ」
　　　
別の日に、ほかの旅人がやってきました。
旅人は聞きます。
「おじいさん、この町はどんな町ですか？」
おじいさんは、聞きます。
「あなたが今までいた町は、どんな町でしたか？」
旅人は答えます。
「みんな親切で誰とでも仲よくあいさつする素晴らしい町でした」。
おじいさんは、言います。
「この町もそれと変わらない、素晴らしい町ですよ」。
　　
参考）語録
一、場所を変えても、同じ壁にぶつかる

"
□ttc3377　ワンタッチ　ビデオ判定！？;倉川 清志;17/08/2025 23:40;"





バレーボールの試合、だいぶ前はワンタッチも１回と数えられていました。
　　
つまり、ブロックしてワンタッチすると、あと２回で返さないといけないので、攻撃力が弱くなります。
ブロックのワンタッチを１回とカウントしなくなってから、ワンタッチしても、しっかり３回つかって返せるので試合は攻撃的になりました。
　　　　
その頃だと思いますが、ワンタッチすると、ワンタッチした選手は手を挙げて「ワンタッチしました」と申告していたと思います。
　　
そりゃ、タッチした本人はわかるでしょ。と思いますが、最近、手を挙げる選手はいない気がします。
　　　　
スポーツ競技の判定では「より正確に！」は正しい方向だと思いますが、それだけではない気もします。
「道」の世界と混同しているのかもしれませんが・・
　　　　　
仕事では「道」を優先したいものです。

"
□ttc3378　＂。（句点）＂に圧;倉川 清志;17/08/2025 23:41;"





ＳＮＳとかで”。（句点）”があると、圧を感じる人がいるとのこと。
「マル（。）ハラ」とか言うらしい。
　　
そもそも句読点は文章を読みやすくするためのものなので、つけなくても読みやすければ良いと思います。
（正式な案内状などには句読点はありません）
　　　
句点（。）が広く意識されるようになったのは、「モーニング娘。」かもしれない。
実際の名前に句点は使用してはいけないとのことですが・・
　　　　
実は、ｔｔｃの「チャレンジ！２０２５」の３つの文章の句点もつける／つけないで議論したんですよ。（。が付いているのが正です）
　　　
句点（。）、読点（、）
何気なく使っていますが、意識してみると、そのありがたさに気づきます。
"
□ttc3379　社長講話＃236　「型」を破る;倉川 清志;19/08/2025 09:18;"





59期の締め（9月末）に向かい案件の提案をしたり、見積を提出したりあわただしくしていると思います。
　　　
先週、客先に提出する概算見積（書）をチェックする機会がありました。
受注会社がそれぞれ概算見積を提出し、客先が発注先と分担を決めて、それぞれが正式見積を提出し契約するという段取りです。
　　　
客先から正式の見積依頼が来てから、ttcの見積の手順（「型」）を守り進めると、客先からの発注は１０月になるスケジュールでした。
ttcの見積作成がクリティカルパスなので、その日数を短縮できれば、９月末までに発注をいただくことが可能となります。
　
３月末が決算期の場合、９月末は中間決算でしかありませんが、ｔｔｃにとっては今期（５９期）か来期（６０期）という大きな違いになります。
　　　
それなら、ttcの見積の手順（「型」）を一気に進めてしまうことも出来る。
それは「型」があるからこそ、できることである。
　　　　　
　　　　　
案件として話があって、そのままになっている仕事、ありませんか？
現場からでも『どうしましょうか』とお客さまに話してください。
単に忘れているだけかもしれません。
　　　　　　　　
かつて、私はお客さまと打合せをするときのアジェンダの下部に「覚書」として案件、残件をさりげなく（小さめの文字で）箇条書きで書いておき、紙で手渡していました(#^^#)
今どきのオンラインなら、さりげなく画面共有ですかね・・
　　　　
この作戦、アジェンダをつくっておくかないと出来ませんが・・
　　　　　　　　　　　　　
2025/08/18(月)　全社朝礼にて
"
□ttc3380　Revenge! Bibliobattle;倉川 清志;20/08/2025 15:13;"





Yesterday, I had dinner with tax accountant Nobuhira, and we talked about the Bibliobattle.
It was held in November 2022, and Baba-kun was the winner.
Tax accountant Nobuhira was a guest at the event.
　　
He said, “Next time, I’ll definitely get revenge on Baba-san.”
　　
Baba-kun, please beat him!　　(#^^#)
　　
Next time, Bibliobattle!
I’m looking forward to it.
– – – – – – – – – – – –
　　
□ttc3380　リベンジ！　ビブリオバトル
　　　　
昨日、延平税理士さんと食事をし、ビブリオバトルの話になりました。
それは、2022年の11月に開催し、優勝は馬場君でした。
そのイベントに延平さんがゲスト参加していました。
　　　　
そして、「次回は絶対に馬場さんにリベンジする」と言っていました。
　　　
馬場君、返り討ちにしてください　(#^^#)
　　　　
次回、ビブリオバトル！
楽しみです。




"
□ttc3381　IKJ「社長語ろう会#68｣カレーを作って！;倉川 清志;21/08/2025 18:06;"





68回目のIKJ社長語ろう会を7月31日(木)に実施しました。
今回は海外インターンシップの学生３名も参加しました。
　レオニ アンジェラさん（インドネシア）
　ミハイ コスミン ヨヌツ君（ルーマニア）
　アーカ ピョー君（ミャンマー）　　
　　
・ITの会社は、四六時中プログラムを書いているイメージがあるみたい。
・コンピュータ言語の経験がないからIT会社は無理と思っている文系の学生も多い。
ということで、実際の業務をソフトウエアライフサイクル（V字モデル）を使用して説明しました。
　　
　　　題材は、「カレーをつくる」
　　
『カレーを作って!!』という顧客（私）の要望を質問して明確にして、どんなカレーをつくるかを決める。
それらの要望から顧客の要件を定義し、今回作るカレーを決める（外部設計）。
そしてどうつくるのか（内部設計）
　　　　
いろいろな制約（見積条件）も考えておかねば！
　　　
これ、かなり奥が深いです。
　　
プログラミングだけをしているのではないことは理解してくれたみたいです・・　　　
=-=-=
　
今回はPDC(A)や「心と魂」も扱い、盛りだくさん過ぎたかもしれませんが、素晴らしいレポートをいただいたので、抜粋をのせさせていただきました。




"
□ttc3382　大宗匠　逝く;倉川 清志;21/08/2025 18:50;"





裏千家の大宗匠（だいそうしょう）である千玄室（せんげんしつ）氏が102歳で逝去されました（2025年8月14日）。
　　
今年の致知の新春特別講演会（2025年1月18日東京プリンスホテル）に登壇され、立ったまま全身を使って力強い講演をされたことはブログに書きました。
参考）□ttc3248　千玄室氏 102歳 立ったまま講演　投稿日: 2025/01/28
　　　　　
私は大宗匠が85歳の頃、お話を聞いたことがありますが、その頃とまったく変わっていないのに驚きました。
　　
特攻に旅立つ同胞に一服の茶を点てて旅立ちを見送り、生き残ったご自身は、使命を全うされたのではないでしょうか。
　　　　　
「一盌（いちわん）からピースフルネスを」・・茶道は世界に広まっています




"
□ttc3383　重きを軽く　軽きを重く;倉川 清志;21/08/2025 18:51;"





千利休が茶道の心得としてまとめた「利休百首」の中に出てくる歌の一部です。
（のちの人のために、茶道を学ぶ心得を和歌でまとめるておくとは、おしゃれですね）
　　
「点前(てまえ)には 重きを軽く　軽きをば　重く扱ふ　味ひをしれ」
　　　
「重いものを軽く　軽いものは重く扱う」と言うことです。
どのような意味でしょうね？
　
茶道における意味は調べてください。
　　
私なりの解釈では・・ 　　　
軽いものはぞんざいに扱いやすいですよね。
重いものはいかにも重たさを主張するように扱うこと、ありませんか。
　　
ちょっと、下品というか、浅いというか・・
　　　
軽いものにこそ、敬意をはらい、うやうやしく、丁寧に、扱う。
重いものは、お客さまに重たそうですねと気づかいさせないように扱う。
　　　
こちらのほうが優雅、優美、ステキだと思います。
　　
名刺の扱い、いただいた配布物の扱い
いたるところで、応用できます。
"
□ttc3384　社長講話＃237　「実行」に徹する;倉川 清志;29/08/2025 09:13;"





稲盛さんの方程式　　　人生・仕事の結果＝考え方×熱意×能力
　　　
能力80の人（Ａ）が100の力を出し切って、80の結果を得ることは素晴らしい。
能力50の人（Ｂ）が100の力を出し切って、50の結果を得ることも素晴らしい。
　
能力80の人（Ａ）が80の力を出して、64の結果を得ると、Ｂの人の500の結果よりも、傍（はた）目には良い結果をつくったと言えるだろう。
　　
ここで注目したいのは、80の力の残りの20ということろ。
100の力が出せるのに、100の力を出す場面で、力を出し切らなかった ”20”。ここに何が入ってくるか。
　　
自己正当化や他責などなどが、入り込むところかもしれない。
　　
熱意は０～１００としているが、もしかしたら、１００とそれ以外なのかもしれません。
陸上のインターバルトレーニングの高負荷運動が熱意１００で、低負荷が熱意５０という意味ではありません。低負荷運動を１００％やりきれば熱意は１００です。
　　　　
熱意は０～１００といいますが、今、自分の熱意の数値を考えるのは難しいと思います。
　　
さて、成果＝戦略×実行　です。
いくら素晴らしい戦略（計画）を立てても、それを実行しなければ成果は得られません。
　　　　
それぞれの立場で、戦略があり、実行があると思います。
会社場合は、その「実行」に目を向け、徹底することが課題です。
皆さんにも、一考の価値があると思います。
　
2025/08/23(月)　全社朝礼にて






熱意をパーセントとして考察しました
"
□ttc3385　こりゃ　暑いわけだ;倉川 清志;29/08/2025 10:05;"





東京新聞に「東京の6月から9月の気温を見える化したら」の記事が載っていました。
一見して、『こりゃ暑いわけだ！』が伝わってきます。
　　　　　　
夏が暑くなっただけでなく、春と秋を侵食して長くなっています。
　　　　
これはもう四季と言ってられません。
日本は温帯気候と思っていましたが、亜熱帯、いや熱帯気候になったのかもしれません。
そういえば、いつ梅雨になって、いつ開けたのかがわからなくなっています。
　　　　
梅雨が線状降水帯のスコールになってしまいました、
　　　
今年2024年は2023年以上です。
　　　　　
二十四節季では、立秋(8/7)、処暑(8/23)が過ぎ、白露(9/7)になろうとしていますが・・
まだまだ油断できません


熱意をパーセントとして考察しました









"
□ttc3386　社内木鶏会　日用心法;倉川 清志;29/08/2025 10:07;"





権藤さんの広島繋がりで４名のゲストの方々に参加いただきました。
私も３人の方をお誘いしていましたが、今回は不参加となり、残念でした。
ゲストにお越しいただくと、とてもワクワクしますね。
社内木鶏会の運営メンバーには、ドキドキかもしれませんね。
　　　
木鶏会の冒頭、今回の「日用心法」のテーマを致知の松澤さんに話していただきました。
・縁は恩によって運になる
・人間力とは当たり前の中にある　ありがたさに気づくこと
短い話の中に、さりげなく真髄を盛り込んでこられ、さすがです。
　　　
東京都社内木鶏経営者会でもご一緒しているカンテックの菅さんとは、同じグループになりました。『日々、お仏壇の水を変え、ご飯を供え、手を合わせている』
ご先祖様と一緒に、日々を送られている・・。　わが身を振り返り、恥じ入るばかり
　　　　　
きのえ温泉から村上代表と皆見（みなみ）副支配人のお二人で参加いただきました。
きのえ温泉は温泉総選挙2024の絶景部門で全国１位！
瀬戸内海の絶景！　見てみたいぃ～　・・存じあげませんでした・・
これから木鶏会を始められるそうです。温泉で木鶏会だったりして・・
　　　　　　
権藤さんがリアルの致知イベントできのえ温泉さんと出会い、このようにオンラインの木鶏会につながりました。まさに、ご縁です。
　　
日ごろの何気ないことにもワクワクして、感謝していると、その出会いがご縁につながりますね。これも「日用心法」かもしれません。
　　　
致知2025年8月号「日用心法」






社内木鶏会後に残っていただき、少しお話ししました


"
□ttc3387　いまだ省庁は単式簿記！？;倉川 清志;29/08/2025 10:09;"





致知８月号の「巻頭の言葉」を読んでいて、驚きました！
財務省、衆参予算委員会は複式簿記が導入されていない！！とは
   
企業では複式簿記が大前提です。
複式簿記とは損益計算書（PL)だけでなく貸借対照表（BS)により資産、負債などが把握できます。
 
家計簿（お小遣い帳）は単式簿記です。
お金の増減のみの管理です。つまり損益計算書（PL)のみということです。
       
東京都は石原都知事の在任中（2006年）に複式簿記に変え、正確な財務状況を把握できるようになったようです。
 　
国の財政をつかさどる省庁が単式簿記（お小遣い帳管理）とは！
（ググってみましたが、各省庁が単式か複式かよくわからない記述でした）
       
日本に複式簿記を紹介したのは福沢諭吉とのこと。さすがです。
しかしながら、いまだにそれを活かしきれていません。
       　
税制改革とか謳われていますが、まずは複式簿記を徹底することが必要ですね。
   
私の知り合いの税理士さんで、複式簿記を小学校の義務教育にしよう！とプレゼンしていた人が居ました。その想い、わかる気がします。
     
致知2025年8月号「日用心法」






"
